"user_id","friend_id"
"1348eb9e-5430-44cb-92ce-2df3a2755bbf",a1d9333b-5551-46ac-9c47-0e417957fc9c
"90825123-c168-40e7-a8be-9a511ff7d88b","42c7704a-a607-4a99-90dd-a2a9653e946c"
"24e10c8f-f732-4e32-92f1-16bf2fec7e37","224202be-e529-4d62-a11a-80361040a3ae"
"1a892a83-9ae2-408c-8572-9a93a324f716",f21ca639-b3b2-4855-a41d-59d99380be84
"769b4054-37ee-4427-b830-4c831f0443c2","8de1c260-cd85-42bd-95b5-13e0ba3d6580"
"4bc61274-3527-42e0-8849-aed5f0378018","80389315-1866-4c30-9fa4-f8107f7f0cc7"
a3d3e26b-f081-492d-a572-fbc06a0cdf2e,c2eb2ed7-6e46-4248-a724-02a8e6ef0503
"2ecf836e-4ff8-4dc8-b260-04297e0e606c","7dca1b2d-83cd-4cbd-a350-2de2b783337e"
c2eb2ed7-6e46-4248-a724-02a8e6ef0503,"333ad285-dc20-47cb-b888-1473f327ae95"
a12ba0dc-906f-46d1-afa6-a4cd5e59a3c2,e30848ef-35f2-4b42-a109-864deb1a0766
"93f83b30-dd75-4235-9fd3-1e60a39f4c2e","063857f9-70cb-4c55-83d6-db8163040ff3"
a6ed8cb9-fe75-4013-908e-0e93cd30053d,a770e39b-e947-42a3-ada1-a441bb537b51
"0680f0e7-9e82-4203-a8c8-87b2a903ed05","466fda51-2eff-4824-ba55-738d3fd4f463"
"4aceb4ef-f2e6-4353-812c-ab1cf66b6352","1a892a83-9ae2-408c-8572-9a93a324f716"
"73e17d3c-4985-49b1-b46e-47fea1ec2981","063857f9-70cb-4c55-83d6-db8163040ff3"
d2333ee9-23a6-4238-985f-9d07b75b698e,"7b090dd7-f29d-451a-b472-e82e68fb9020"
"468f0849-d1c5-4e91-84af-d976bd7f1b12","4c059abf-8552-43f2-b2cd-a06cf0e251e2"
"063857f9-70cb-4c55-83d6-db8163040ff3","73e17d3c-4985-49b1-b46e-47fea1ec2981"
"063857f9-70cb-4c55-83d6-db8163040ff3","0da296bd-48f3-46cf-bb1d-13729c14eabe"
a770e39b-e947-42a3-ada1-a441bb537b51,"26798b7a-a73c-4d5d-a19e-481c6ac20b28"
c2eb2ed7-6e46-4248-a724-02a8e6ef0503,"15af67c2-1e63-4ae0-8b9e-928560559117"
"72276a32-788d-4e8b-ad7e-d51c08f49660","063857f9-70cb-4c55-83d6-db8163040ff3"
"7b090dd7-f29d-451a-b472-e82e68fb9020",ca03231e-477b-450c-b8d5-fc2b605ed0cf
a770e39b-e947-42a3-ada1-a441bb537b51,"96ed3561-5385-4335-82cb-5af635064358"
"90825123-c168-40e7-a8be-9a511ff7d88b",ace6bdfc-d775-4771-b179-b3dee4413706
"5fae8d09-17ea-4448-95bd-3aea0aff4acd",a1d9333b-5551-46ac-9c47-0e417957fc9c
"80389315-1866-4c30-9fa4-f8107f7f0cc7",e9d5f20a-f30d-454c-8307-9ea7b38c5fb9
